k,n,dist,treatment_shift,test_name,alpha,rejection_rate
4,2,F1,0.0,JT_test,0.01,0.00558
4,2,F1,0.0,DD_test,0.01,0.00996
4,2,F1,0.0,JT_test,0.05,0.04742
4,2,F1,0.0,DD_test,0.05,0.04926
4,2,F1,0.0,JT_test,0.1,0.08128
4,2,F1,0.0,DD_test,0.1,0.09814
4,2,F1,0.11235955056179775,JT_test,0.01,0.00516
4,2,F1,0.11235955056179775,DD_test,0.01,0.01062
4,2,F1,0.11235955056179775,JT_test,0.05,0.05254
4,2,F1,0.11235955056179775,DD_test,0.05,0.05274
4,2,F1,0.11235955056179775,JT_test,0.1,0.0893
4,2,F1,0.11235955056179775,DD_test,0.1,0.1074
4,2,F1,0.2247191011235955,JT_test,0.01,0.00636
4,2,F1,0.2247191011235955,DD_test,0.01,0.01266
4,2,F1,0.2247191011235955,JT_test,0.05,0.05798
4,2,F1,0.2247191011235955,DD_test,0.05,0.06008
4,2,F1,0.2247191011235955,JT_test,0.1,0.09806
4,2,F1,0.2247191011235955,DD_test,0.1,0.1164
4,2,F1,0.33707865168539325,JT_test,0.01,0.00748
4,2,F1,0.33707865168539325,DD_test,0.01,0.01368
4,2,F1,0.33707865168539325,JT_test,0.05,0.06398
4,2,F1,0.33707865168539325,DD_test,0.05,0.06548
4,2,F1,0.33707865168539325,JT_test,0.1,0.1044
4,2,F1,0.33707865168539325,DD_test,0.1,0.1261
4,2,F1,0.449438202247191,JT_test,0.01,0.00804
4,2,F1,0.449438202247191,DD_test,0.01,0.0157
4,2,F1,0.449438202247191,JT_test,0.05,0.06856
4,2,F1,0.449438202247191,DD_test,0.05,0.071
4,2,F1,0.449438202247191,JT_test,0.1,0.11308
4,2,F1,0.449438202247191,DD_test,0.1,0.13698
4,2,F1,0.5617977528089888,JT_test,0.01,0.00832
4,2,F1,0.5617977528089888,DD_test,0.01,0.01626
4,2,F1,0.5617977528089888,JT_test,0.05,0.07424
4,2,F1,0.5617977528089888,DD_test,0.05,0.07818
4,2,F1,0.5617977528089888,JT_test,0.1,0.12298
4,2,F1,0.5617977528089888,DD_test,0.1,0.14878
4,2,F1,0.6741573033707865,JT_test,0.01,0.00932
4,2,F1,0.6741573033707865,DD_test,0.01,0.01804
4,2,F1,0.6741573033707865,JT_test,0.05,0.07928
4,2,F1,0.6741573033707865,DD_test,0.05,0.08238
4,2,F1,0.6741573033707865,JT_test,0.1,0.12812
4,2,F1,0.6741573033707865,DD_test,0.1,0.15444
4,2,F1,0.7865168539325842,JT_test,0.01,0.00958
4,2,F1,0.7865168539325842,DD_test,0.01,0.0199
4,2,F1,0.7865168539325842,JT_test,0.05,0.08614
4,2,F1,0.7865168539325842,DD_test,0.05,0.09018
4,2,F1,0.7865168539325842,JT_test,0.1,0.14144
4,2,F1,0.7865168539325842,DD_test,0.1,0.16912
4,2,F1,0.898876404494382,JT_test,0.01,0.01166
4,2,F1,0.898876404494382,DD_test,0.01,0.0223
4,2,F1,0.898876404494382,JT_test,0.05,0.0944
4,2,F1,0.898876404494382,DD_test,0.05,0.09886
4,2,F1,0.898876404494382,JT_test,0.1,0.14982
4,2,F1,0.898876404494382,DD_test,0.1,0.1798
4,2,F1,1.0112359550561798,JT_test,0.01,0.01348
4,2,F1,1.0112359550561798,DD_test,0.01,0.02522
4,2,F1,1.0112359550561798,JT_test,0.05,0.10098
4,2,F1,1.0112359550561798,DD_test,0.05,0.1059
4,2,F1,1.0112359550561798,JT_test,0.1,0.16138
4,2,F1,1.0112359550561798,DD_test,0.1,0.19352
4,2,F1,1.1235955056179776,JT_test,0.01,0.01442
4,2,F1,1.1235955056179776,DD_test,0.01,0.02734
4,2,F1,1.1235955056179776,JT_test,0.05,0.10988
4,2,F1,1.1235955056179776,DD_test,0.05,0.11726
4,2,F1,1.1235955056179776,JT_test,0.1,0.17274
4,2,F1,1.1235955056179776,DD_test,0.1,0.20912
4,2,F1,1.2359550561797752,JT_test,0.01,0.01446
4,2,F1,1.2359550561797752,DD_test,0.01,0.02902
4,2,F1,1.2359550561797752,JT_test,0.05,0.11444
4,2,F1,1.2359550561797752,DD_test,0.05,0.12196
4,2,F1,1.2359550561797752,JT_test,0.1,0.18248
4,2,F1,1.2359550561797752,DD_test,0.1,0.2191
4,2,F1,1.348314606741573,JT_test,0.01,0.01774
4,2,F1,1.348314606741573,DD_test,0.01,0.03176
4,2,F1,1.348314606741573,JT_test,0.05,0.12386
4,2,F1,1.348314606741573,DD_test,0.05,0.13178
4,2,F1,1.348314606741573,JT_test,0.1,0.193
4,2,F1,1.348314606741573,DD_test,0.1,0.23312
4,2,F1,1.4606741573033708,JT_test,0.01,0.01852
4,2,F1,1.4606741573033708,DD_test,0.01,0.03558
4,2,F1,1.4606741573033708,JT_test,0.05,0.13408
4,2,F1,1.4606741573033708,DD_test,0.05,0.14306
4,2,F1,1.4606741573033708,JT_test,0.1,0.2089
4,2,F1,1.4606741573033708,DD_test,0.1,0.25084
4,2,F1,1.5730337078651684,JT_test,0.01,0.02128
4,2,F1,1.5730337078651684,DD_test,0.01,0.03942
4,2,F1,1.5730337078651684,JT_test,0.05,0.14488
4,2,F1,1.5730337078651684,DD_test,0.05,0.15588
4,2,F1,1.5730337078651684,JT_test,0.1,0.22216
4,2,F1,1.5730337078651684,DD_test,0.1,0.26604
4,2,F1,1.6853932584269662,JT_test,0.01,0.0213
4,2,F1,1.6853932584269662,DD_test,0.01,0.04164
4,2,F1,1.6853932584269662,JT_test,0.05,0.15334
4,2,F1,1.6853932584269662,DD_test,0.05,0.16364
4,2,F1,1.6853932584269662,JT_test,0.1,0.23302
4,2,F1,1.6853932584269662,DD_test,0.1,0.27994
4,2,F1,1.797752808988764,JT_test,0.01,0.02366
4,2,F1,1.797752808988764,DD_test,0.01,0.0443
4,2,F1,1.797752808988764,JT_test,0.05,0.1622
4,2,F1,1.797752808988764,DD_test,0.05,0.17334
4,2,F1,1.797752808988764,JT_test,0.1,0.24594
4,2,F1,1.797752808988764,DD_test,0.1,0.2942
4,2,F1,1.9101123595505618,JT_test,0.01,0.02624
4,2,F1,1.9101123595505618,DD_test,0.01,0.04962
4,2,F1,1.9101123595505618,JT_test,0.05,0.1749
4,2,F1,1.9101123595505618,DD_test,0.05,0.18684
4,2,F1,1.9101123595505618,JT_test,0.1,0.26288
4,2,F1,1.9101123595505618,DD_test,0.1,0.31286
4,2,F1,2.0224719101123596,JT_test,0.01,0.02906
4,2,F1,2.0224719101123596,DD_test,0.01,0.05386
4,2,F1,2.0224719101123596,JT_test,0.05,0.18466
4,2,F1,2.0224719101123596,DD_test,0.05,0.19632
4,2,F1,2.0224719101123596,JT_test,0.1,0.27504
4,2,F1,2.0224719101123596,DD_test,0.1,0.32462
4,2,F1,2.134831460674157,JT_test,0.01,0.03034
4,2,F1,2.134831460674157,DD_test,0.01,0.0575
4,2,F1,2.134831460674157,JT_test,0.05,0.1958
4,2,F1,2.134831460674157,DD_test,0.05,0.21176
4,2,F1,2.134831460674157,JT_test,0.1,0.29064
4,2,F1,2.134831460674157,DD_test,0.1,0.34492
4,2,F1,2.247191011235955,JT_test,0.01,0.03396
4,2,F1,2.247191011235955,DD_test,0.01,0.06262
4,2,F1,2.247191011235955,JT_test,0.05,0.2096
4,2,F1,2.247191011235955,DD_test,0.05,0.2248
4,2,F1,2.247191011235955,JT_test,0.1,0.30522
4,2,F1,2.247191011235955,DD_test,0.1,0.36302
4,2,F1,2.359550561797753,JT_test,0.01,0.03636
4,2,F1,2.359550561797753,DD_test,0.01,0.06652
4,2,F1,2.359550561797753,JT_test,0.05,0.21944
4,2,F1,2.359550561797753,DD_test,0.05,0.23848
4,2,F1,2.359550561797753,JT_test,0.1,0.32084
4,2,F1,2.359550561797753,DD_test,0.1,0.38214
4,2,F1,2.4719101123595504,JT_test,0.01,0.03872
4,2,F1,2.4719101123595504,DD_test,0.01,0.0715
4,2,F1,2.4719101123595504,JT_test,0.05,0.23288
4,2,F1,2.4719101123595504,DD_test,0.05,0.25158
4,2,F1,2.4719101123595504,JT_test,0.1,0.33708
4,2,F1,2.4719101123595504,DD_test,0.1,0.39692
4,2,F1,2.5842696629213484,JT_test,0.01,0.04254
4,2,F1,2.5842696629213484,DD_test,0.01,0.07712
4,2,F1,2.5842696629213484,JT_test,0.05,0.24448
4,2,F1,2.5842696629213484,DD_test,0.05,0.26476
4,2,F1,2.5842696629213484,JT_test,0.1,0.35102
4,2,F1,2.5842696629213484,DD_test,0.1,0.41742
4,2,F1,2.696629213483146,JT_test,0.01,0.04638
4,2,F1,2.696629213483146,DD_test,0.01,0.0843
4,2,F1,2.696629213483146,JT_test,0.05,0.26004
4,2,F1,2.696629213483146,DD_test,0.05,0.28094
4,2,F1,2.696629213483146,JT_test,0.1,0.36788
4,2,F1,2.696629213483146,DD_test,0.1,0.43476
4,2,F1,2.8089887640449436,JT_test,0.01,0.0486
4,2,F1,2.8089887640449436,DD_test,0.01,0.09018
4,2,F1,2.8089887640449436,JT_test,0.05,0.27554
4,2,F1,2.8089887640449436,DD_test,0.05,0.29656
4,2,F1,2.8089887640449436,JT_test,0.1,0.38714
4,2,F1,2.8089887640449436,DD_test,0.1,0.4548
4,2,F1,2.9213483146067416,JT_test,0.01,0.05324
4,2,F1,2.9213483146067416,DD_test,0.01,0.0969
4,2,F1,2.9213483146067416,JT_test,0.05,0.28916
4,2,F1,2.9213483146067416,DD_test,0.05,0.31332
4,2,F1,2.9213483146067416,JT_test,0.1,0.40146
4,2,F1,2.9213483146067416,DD_test,0.1,0.47094
4,2,F1,3.033707865168539,JT_test,0.01,0.05918
4,2,F1,3.033707865168539,DD_test,0.01,0.10714
4,2,F1,3.033707865168539,JT_test,0.05,0.30368
4,2,F1,3.033707865168539,DD_test,0.05,0.32928
4,2,F1,3.033707865168539,JT_test,0.1,0.42016
4,2,F1,3.033707865168539,DD_test,0.1,0.49168
4,2,F1,3.1460674157303368,JT_test,0.01,0.06242
