k,n,dist,treatment_shift,test_name,alpha,rejection_rate
3,2,F1,0.0,JT_test,0.01,0.0
3,2,F1,0.0,DD_test,0.01,0.0
3,2,F1,0.0,JT_test,0.05,0.032968
3,2,F1,0.0,DD_test,0.05,0.044664
3,2,F1,0.0,JT_test,0.1,0.089268
3,2,F1,0.0,DD_test,0.1,0.089364
3,2,F1,0.2808988764044944,JT_test,0.01,0.0
3,2,F1,0.2808988764044944,DD_test,0.01,0.0
3,2,F1,0.2808988764044944,JT_test,0.05,0.037956
3,2,F1,0.2808988764044944,DD_test,0.05,0.050828
3,2,F1,0.2808988764044944,JT_test,0.1,0.100188
3,2,F1,0.2808988764044944,DD_test,0.1,0.100376
3,2,F1,0.5617977528089888,JT_test,0.01,0.0
3,2,F1,0.5617977528089888,DD_test,0.01,0.0
3,2,F1,0.5617977528089888,JT_test,0.05,0.04388
3,2,F1,0.5617977528089888,DD_test,0.05,0.058668
3,2,F1,0.5617977528089888,JT_test,0.1,0.11314
3,2,F1,0.5617977528089888,DD_test,0.1,0.113448
3,2,F1,0.8426966292134832,JT_test,0.01,0.0
3,2,F1,0.8426966292134832,DD_test,0.01,0.0
3,2,F1,0.8426966292134832,JT_test,0.05,0.049356
3,2,F1,0.8426966292134832,DD_test,0.05,0.066248
3,2,F1,0.8426966292134832,JT_test,0.1,0.126256
3,2,F1,0.8426966292134832,DD_test,0.1,0.12758
3,2,F1,1.1235955056179776,JT_test,0.01,0.0
3,2,F1,1.1235955056179776,DD_test,0.01,0.0
3,2,F1,1.1235955056179776,JT_test,0.05,0.056076
3,2,F1,1.1235955056179776,DD_test,0.05,0.074644
3,2,F1,1.1235955056179776,JT_test,0.1,0.140648
3,2,F1,1.1235955056179776,DD_test,0.1,0.143148
3,2,F1,1.404494382022472,JT_test,0.01,0.0
3,2,F1,1.404494382022472,DD_test,0.01,0.0
3,2,F1,1.404494382022472,JT_test,0.05,0.062868
3,2,F1,1.404494382022472,DD_test,0.05,0.083856
3,2,F1,1.404494382022472,JT_test,0.1,0.155736
3,2,F1,1.404494382022472,DD_test,0.1,0.15798
3,2,F1,1.6853932584269664,JT_test,0.01,0.0
3,2,F1,1.6853932584269664,DD_test,0.01,0.0
3,2,F1,1.6853932584269664,JT_test,0.05,0.071904
3,2,F1,1.6853932584269664,DD_test,0.05,0.096308
3,2,F1,1.6853932584269664,JT_test,0.1,0.174804
3,2,F1,1.6853932584269664,DD_test,0.1,0.178524
3,2,F1,1.9662921348314608,JT_test,0.01,0.0
3,2,F1,1.9662921348314608,DD_test,0.01,0.0
3,2,F1,1.9662921348314608,JT_test,0.05,0.080972
3,2,F1,1.9662921348314608,DD_test,0.05,0.10676
3,2,F1,1.9662921348314608,JT_test,0.1,0.19134
3,2,F1,1.9662921348314608,DD_test,0.1,0.196344
3,2,F1,2.247191011235955,JT_test,0.01,0.0
3,2,F1,2.247191011235955,DD_test,0.01,0.0
3,2,F1,2.247191011235955,JT_test,0.05,0.089836
3,2,F1,2.247191011235955,DD_test,0.05,0.11898
3,2,F1,2.247191011235955,JT_test,0.1,0.210368
3,2,F1,2.247191011235955,DD_test,0.1,0.216804
3,2,F1,2.5280898876404496,JT_test,0.01,0.0
3,2,F1,2.5280898876404496,DD_test,0.01,0.0
3,2,F1,2.5280898876404496,JT_test,0.05,0.100076
3,2,F1,2.5280898876404496,DD_test,0.05,0.1321
3,2,F1,2.5280898876404496,JT_test,0.1,0.229088
3,2,F1,2.5280898876404496,DD_test,0.1,0.236308
3,2,F1,2.808988764044944,JT_test,0.01,0.0
3,2,F1,2.808988764044944,DD_test,0.01,0.0
3,2,F1,2.808988764044944,JT_test,0.05,0.11074
3,2,F1,2.808988764044944,DD_test,0.05,0.1471
3,2,F1,2.808988764044944,JT_test,0.1,0.25116
3,2,F1,2.808988764044944,DD_test,0.1,0.259968
