k,n,dist,treatment_shift,parameter,test_name,alpha,rejection_rate
3,3,F1,7.5,25.0,JT_test,0.05,0.88662
3,3,F1,7.5,25.0,DD_test,0.05,0.947632
3,3,F1,7.5,25.335570469798657,JT_test,0.05,0.883476
3,3,F1,7.5,25.335570469798657,DD_test,0.05,0.946376
3,3,F1,7.5,25.671140939597315,JT_test,0.05,0.880392
3,3,F1,7.5,25.671140939597315,DD_test,0.05,0.943836
3,3,F1,7.5,26.006711409395972,JT_test,0.05,0.878216
3,3,F1,7.5,26.006711409395972,DD_test,0.05,0.941972
3,3,F1,7.5,26.34228187919463,JT_test,0.05,0.87344
3,3,F1,7.5,26.34228187919463,DD_test,0.05,0.93944
3,3,F1,7.5,26.677852348993287,JT_test,0.05,0.869504
3,3,F1,7.5,26.677852348993287,DD_test,0.05,0.936552
3,3,F1,7.5,27.013422818791945,JT_test,0.05,0.867092
3,3,F1,7.5,27.013422818791945,DD_test,0.05,0.934976
3,3,F1,7.5,27.348993288590606,JT_test,0.05,0.862072
3,3,F1,7.5,27.348993288590606,DD_test,0.05,0.931024
3,3,F1,7.5,27.684563758389263,JT_test,0.05,0.859452
3,3,F1,7.5,27.684563758389263,DD_test,0.05,0.929768
3,3,F1,7.5,28.02013422818792,JT_test,0.05,0.85566
3,3,F1,7.5,28.02013422818792,DD_test,0.05,0.926976
3,3,F1,7.5,28.355704697986578,JT_test,0.05,0.853352
3,3,F1,7.5,28.355704697986578,DD_test,0.05,0.925176
3,3,F1,7.5,28.691275167785236,JT_test,0.05,0.849724
3,3,F1,7.5,28.691275167785236,DD_test,0.05,0.922276
3,3,F1,7.5,29.026845637583893,JT_test,0.05,0.845644
3,3,F1,7.5,29.026845637583893,DD_test,0.05,0.919336
3,3,F1,7.5,29.36241610738255,JT_test,0.05,0.84268
3,3,F1,7.5,29.36241610738255,DD_test,0.05,0.917248
3,3,F1,7.5,29.697986577181208,JT_test,0.05,0.838408
3,3,F1,7.5,29.697986577181208,DD_test,0.05,0.913636
3,3,F1,7.5,30.033557046979865,JT_test,0.05,0.834372
3,3,F1,7.5,30.033557046979865,DD_test,0.05,0.911424
3,3,F1,7.5,30.369127516778523,JT_test,0.05,0.83086
3,3,F1,7.5,30.369127516778523,DD_test,0.05,0.90776
3,3,F1,7.5,30.70469798657718,JT_test,0.05,0.82684
3,3,F1,7.5,30.70469798657718,DD_test,0.05,0.904992
3,3,F1,7.5,31.04026845637584,JT_test,0.05,0.823888
3,3,F1,7.5,31.04026845637584,DD_test,0.05,0.902584
3,3,F1,7.5,31.375838926174495,JT_test,0.05,0.820672
3,3,F1,7.5,31.375838926174495,DD_test,0.05,0.90052
3,3,F1,7.5,31.711409395973156,JT_test,0.05,0.817152
3,3,F1,7.5,31.711409395973156,DD_test,0.05,0.898632
3,3,F1,7.5,32.04697986577181,JT_test,0.05,0.81404
3,3,F1,7.5,32.04697986577181,DD_test,0.05,0.895468
3,3,F1,7.5,32.38255033557047,JT_test,0.05,0.810576
3,3,F1,7.5,32.38255033557047,DD_test,0.05,0.893428
3,3,F1,7.5,32.718120805369125,JT_test,0.05,0.806016
3,3,F1,7.5,32.718120805369125,DD_test,0.05,0.889816
3,3,F1,7.5,33.053691275167786,JT_test,0.05,0.804772
3,3,F1,7.5,33.053691275167786,DD_test,0.05,0.88794
3,3,F1,7.5,33.38926174496645,JT_test,0.05,0.798328
3,3,F1,7.5,33.38926174496645,DD_test,0.05,0.883432
3,3,F1,7.5,33.7248322147651,JT_test,0.05,0.795488
3,3,F1,7.5,33.7248322147651,DD_test,0.05,0.88194
3,3,F1,7.5,34.060402684563755,JT_test,0.05,0.7919
3,3,F1,7.5,34.060402684563755,DD_test,0.05,0.879044
3,3,F1,7.5,34.395973154362416,JT_test,0.05,0.789612
3,3,F1,7.5,34.395973154362416,DD_test,0.05,0.876524
3,3,F1,7.5,34.73154362416108,JT_test,0.05,0.785872
3,3,F1,7.5,34.73154362416108,DD_test,0.05,0.872416
3,3,F1,7.5,35.06711409395973,JT_test,0.05,0.782756
3,3,F1,7.5,35.06711409395973,DD_test,0.05,0.87138
3,3,F1,7.5,35.40268456375839,JT_test,0.05,0.778716
3,3,F1,7.5,35.40268456375839,DD_test,0.05,0.868196
3,3,F1,7.5,35.738255033557046,JT_test,0.05,0.7733
3,3,F1,7.5,35.738255033557046,DD_test,0.05,0.863216
3,3,F1,7.5,36.07382550335571,JT_test,0.05,0.7712
3,3,F1,7.5,36.07382550335571,DD_test,0.05,0.862176
3,3,F1,7.5,36.40939597315436,JT_test,0.05,0.768924
3,3,F1,7.5,36.40939597315436,DD_test,0.05,0.859392
3,3,F1,7.5,36.74496644295302,JT_test,0.05,0.763556
3,3,F1,7.5,36.74496644295302,DD_test,0.05,0.855664
3,3,F1,7.5,37.08053691275168,JT_test,0.05,0.762396
3,3,F1,7.5,37.08053691275168,DD_test,0.05,0.85486
3,3,F1,7.5,37.41610738255034,JT_test,0.05,0.760052
3,3,F1,7.5,37.41610738255034,DD_test,0.05,0.852176
3,3,F1,7.5,37.75167785234899,JT_test,0.05,0.75536
3,3,F1,7.5,37.75167785234899,DD_test,0.05,0.848156
3,3,F1,7.5,38.08724832214765,JT_test,0.05,0.753068
3,3,F1,7.5,38.08724832214765,DD_test,0.05,0.846256
3,3,F1,7.5,38.42281879194631,JT_test,0.05,0.749636
3,3,F1,7.5,38.42281879194631,DD_test,0.05,0.842948
3,3,F1,7.5,38.758389261744966,JT_test,0.05,0.746056
3,3,F1,7.5,38.758389261744966,DD_test,0.05,0.840644
3,3,F1,7.5,39.09395973154363,JT_test,0.05,0.740892
3,3,F1,7.5,39.09395973154363,DD_test,0.05,0.836532
3,3,F1,7.5,39.42953020134228,JT_test,0.05,0.737992
3,3,F1,7.5,39.42953020134228,DD_test,0.05,0.833452
3,3,F1,7.5,39.76510067114094,JT_test,0.05,0.735824
3,3,F1,7.5,39.76510067114094,DD_test,0.05,0.832272
3,3,F1,7.5,40.100671140939596,JT_test,0.05,0.73282
3,3,F1,7.5,40.100671140939596,DD_test,0.05,0.82926
3,3,F1,7.5,40.43624161073826,JT_test,0.05,0.730648
3,3,F1,7.5,40.43624161073826,DD_test,0.05,0.827428
3,3,F1,7.5,40.77181208053691,JT_test,0.05,0.726216
3,3,F1,7.5,40.77181208053691,DD_test,0.05,0.823024
3,3,F1,7.5,41.10738255033557,JT_test,0.05,0.72454
3,3,F1,7.5,41.10738255033557,DD_test,0.05,0.820544
3,3,F1,7.5,41.442953020134226,JT_test,0.05,0.720384
3,3,F1,7.5,41.442953020134226,DD_test,0.05,0.81846
3,3,F1,7.5,41.77852348993289,JT_test,0.05,0.71854
3,3,F1,7.5,41.77852348993289,DD_test,0.05,0.816576
3,3,F1,7.5,42.11409395973155,JT_test,0.05,0.714844
3,3,F1,7.5,42.11409395973155,DD_test,0.05,0.812724
3,3,F1,7.5,42.4496644295302,JT_test,0.05,0.712708
3,3,F1,7.5,42.4496644295302,DD_test,0.05,0.811472
3,3,F1,7.5,42.785234899328856,JT_test,0.05,0.708312
3,3,F1,7.5,42.785234899328856,DD_test,0.05,0.806656
3,3,F1,7.5,43.12080536912752,JT_test,0.05,0.705808
3,3,F1,7.5,43.12080536912752,DD_test,0.05,0.806304
3,3,F1,7.5,43.45637583892618,JT_test,0.05,0.702424
3,3,F1,7.5,43.45637583892618,DD_test,0.05,0.802112
3,3,F1,7.5,43.79194630872483,JT_test,0.05,0.698552
3,3,F1,7.5,43.79194630872483,DD_test,0.05,0.79816
3,3,F1,7.5,44.127516778523486,JT_test,0.05,0.69614
3,3,F1,7.5,44.127516778523486,DD_test,0.05,0.796272
3,3,F1,7.5,44.463087248322154,JT_test,0.05,0.693944
3,3,F1,7.5,44.463087248322154,DD_test,0.05,0.795048
3,3,F1,7.5,44.79865771812081,JT_test,0.05,0.691392
3,3,F1,7.5,44.79865771812081,DD_test,0.05,0.791748
3,3,F1,7.5,45.13422818791946,JT_test,0.05,0.687016
3,3,F1,7.5,45.13422818791946,DD_test,0.05,0.788368
3,3,F1,7.5,45.46979865771812,JT_test,0.05,0.686008
3,3,F1,7.5,45.46979865771812,DD_test,0.05,0.787888
3,3,F1,7.5,45.805369127516784,JT_test,0.05,0.682016
3,3,F1,7.5,45.805369127516784,DD_test,0.05,0.78416
3,3,F1,7.5,46.14093959731544,JT_test,0.05,0.679704
3,3,F1,7.5,46.14093959731544,DD_test,0.05,0.78108
3,3,F1,7.5,46.47651006711409,JT_test,0.05,0.6752
3,3,F1,7.5,46.47651006711409,DD_test,0.05,0.778372
3,3,F1,7.5,46.81208053691275,JT_test,0.05,0.673668
3,3,F1,7.5,46.81208053691275,DD_test,0.05,0.776148
3,3,F1,7.5,47.14765100671141,JT_test,0.05,0.672028
3,3,F1,7.5,47.14765100671141,DD_test,0.05,0.774696
3,3,F1,7.5,47.48322147651007,JT_test,0.05,0.667184
3,3,F1,7.5,47.48322147651007,DD_test,0.05,0.769288
3,3,F1,7.5,47.81879194630872,JT_test,0.05,0.665092
3,3,F1,7.5,47.81879194630872,DD_test,0.05,0.767648
3,3,F1,7.5,48.15436241610738,JT_test,0.05,0.662216
3,3,F1,7.5,48.15436241610738,DD_test,0.05,0.765216
3,3,F1,7.5,48.48993288590604,JT_test,0.05,0.65824
3,3,F1,7.5,48.48993288590604,DD_test,0.05,0.7628
3,3,F1,7.5,48.8255033557047,JT_test,0.05,0.658128
3,3,F1,7.5,48.8255033557047,DD_test,0.05,0.760784
3,3,F1,7.5,49.16107382550336,JT_test,0.05,0.654184
3,3,F1,7.5,49.16107382550336,DD_test,0.05,0.757624
3,3,F1,7.5,49.49664429530202,JT_test,0.05,0.652824
3,3,F1,7.5,49.49664429530202,DD_test,0.05,0.757104
3,3,F1,7.5,49.83221476510067,JT_test,0.05,0.648396
3,3,F1,7.5,49.83221476510067,DD_test,0.05,0.752468
3,3,F1,7.5,50.16778523489933,JT_test,0.05,0.646704
3,3,F1,7.5,50.16778523489933,DD_test,0.05,0.751084
3,3,F1,7.5,50.50335570469799,JT_test,0.05,0.644644
3,3,F1,7.5,50.50335570469799,DD_test,0.05,0.748836
3,3,F1,7.5,50.83892617449665,JT_test,0.05,0.640568
3,3,F1,7.5,50.83892617449665,DD_test,0.05,0.744928
3,3,F1,7.5,51.1744966442953,JT_test,0.05,0.637828
3,3,F1,7.5,51.1744966442953,DD_test,0.05,0.742544
3,3,F1,7.5,51.51006711409396,JT_test,0.05,0.636628
3,3,F1,7.5,51.51006711409396,DD_test,0.05,0.741512
3,3,F1,7.5,51.84563758389262,JT_test,0.05,0.63514
3,3,F1,7.5,51.84563758389262,DD_test,0.05,0.740516
3,3,F1,7.5,52.18120805369128,JT_test,0.05,0.633576
3,3,F1,7.5,52.18120805369128,DD_test,0.05,0.73734
3,3,F1,7.5,52.51677852348993,JT_test,0.05,0.63028
3,3,F1,7.5,52.51677852348993,DD_test,0.05,0.734724
3,3,F1,7.5,52.85234899328859,JT_test,0.05,0.628188
3,3,F1,7.5,52.85234899328859,DD_test,0.05,0.73258
3,3,F1,7.5,53.187919463087255,JT_test,0.05,0.626576
3,3,F1,7.5,53.187919463087255,DD_test,0.05,0.731048
3,3,F1,7.5,53.52348993288591,JT_test,0.05,0.622156
3,3,F1,7.5,53.52348993288591,DD_test,0.05,0.72744
3,3,F1,7.5,53.85906040268456,JT_test,0.05,0.620488
3,3,F1,7.5,53.85906040268456,DD_test,0.05,0.725192
3,3,F1,7.5,54.19463087248322,JT_test,0.05,0.618732
3,3,F1,7.5,54.19463087248322,DD_test,0.05,0.723264
3,3,F1,7.5,54.530201342281885,JT_test,0.05,0.615856
3,3,F1,7.5,54.530201342281885,DD_test,0.05,0.720548
3,3,F1,7.5,54.86577181208054,JT_test,0.05,0.613652
3,3,F1,7.5,54.86577181208054,DD_test,0.05,0.717688
3,3,F1,7.5,55.20134228187919,JT_test,0.05,0.611408
3,3,F1,7.5,55.20134228187919,DD_test,0.05,0.715932
3,3,F1,7.5,55.53691275167785,JT_test,0.05,0.60736
3,3,F1,7.5,55.53691275167785,DD_test,0.05,0.712524
3,3,F1,7.5,55.872483221476514,JT_test,0.05,0.605212
3,3,F1,7.5,55.872483221476514,DD_test,0.05,0.711232
3,3,F1,7.5,56.20805369127517,JT_test,0.05,0.603624
3,3,F1,7.5,56.20805369127517,DD_test,0.05,0.709736
3,3,F1,7.5,56.54362416107382,JT_test,0.05,0.60248
3,3,F1,7.5,56.54362416107382,DD_test,0.05,0.708056
3,3,F1,7.5,56.87919463087248,JT_test,0.05,0.600344
3,3,F1,7.5,56.87919463087248,DD_test,0.05,0.705004
3,3,F1,7.5,57.214765100671144,JT_test,0.05,0.59648
3,3,F1,7.5,57.214765100671144,DD_test,0.05,0.702412
3,3,F1,7.5,57.5503355704698,JT_test,0.05,0.596104
3,3,F1,7.5,57.5503355704698,DD_test,0.05,0.700416
3,3,F1,7.5,57.88590604026846,JT_test,0.05,0.593204
3,3,F1,7.5,57.88590604026846,DD_test,0.05,0.69856
3,3,F1,7.5,58.22147651006711,JT_test,0.05,0.591392
3,3,F1,7.5,58.22147651006711,DD_test,0.05,0.696592
3,3,F1,7.5,58.557046979865774,JT_test,0.05,0.588824
3,3,F1,7.5,58.557046979865774,DD_test,0.05,0.694076
3,3,F1,7.5,58.89261744966443,JT_test,0.05,0.5873
3,3,F1,7.5,58.89261744966443,DD_test,0.05,0.693412
3,3,F1,7.5,59.22818791946309,JT_test,0.05,0.58528
3,3,F1,7.5,59.22818791946309,DD_test,0.05,0.690812
3,3,F1,7.5,59.56375838926175,JT_test,0.05,0.581956
3,3,F1,7.5,59.56375838926175,DD_test,0.05,0.6864
3,3,F1,7.5,59.899328859060404,JT_test,0.05,0.58058
3,3,F1,7.5,59.899328859060404,DD_test,0.05,0.6864
3,3,F1,7.5,60.234899328859065,JT_test,0.05,0.577632
3,3,F1,7.5,60.234899328859065,DD_test,0.05,0.682508
