k,n,dist,treatment_shift,test_name,alpha,rejection_rate
3,2,F1,0.0,JT_test,0.01,0.0
3,2,F1,0.0,DD_test,0.01,0.0
3,2,F1,0.0,JT_test,0.05,0.033236
3,2,F1,0.0,DD_test,0.05,0.044332
3,2,F1,0.0,JT_test,0.1,0.087992
3,2,F1,0.0,DD_test,0.1,0.08866
3,2,F1,0.5617977528089888,JT_test,0.01,0.0
3,2,F1,0.5617977528089888,DD_test,0.01,0.0
3,2,F1,0.5617977528089888,JT_test,0.05,0.038684
3,2,F1,0.5617977528089888,DD_test,0.05,0.051208
3,2,F1,0.5617977528089888,JT_test,0.1,0.100856
3,2,F1,0.5617977528089888,DD_test,0.1,0.101708
3,2,F1,1.1235955056179776,JT_test,0.01,0.0
3,2,F1,1.1235955056179776,DD_test,0.01,0.0
3,2,F1,1.1235955056179776,JT_test,0.05,0.043436
3,2,F1,1.1235955056179776,DD_test,0.05,0.058304
3,2,F1,1.1235955056179776,JT_test,0.1,0.113128
3,2,F1,1.1235955056179776,DD_test,0.1,0.11368
3,2,F1,1.6853932584269664,JT_test,0.01,0.0
3,2,F1,1.6853932584269664,DD_test,0.01,0.0
3,2,F1,1.6853932584269664,JT_test,0.05,0.048928
3,2,F1,1.6853932584269664,DD_test,0.05,0.064704
3,2,F1,1.6853932584269664,JT_test,0.1,0.125024
3,2,F1,1.6853932584269664,DD_test,0.1,0.12696
3,2,F1,2.247191011235955,JT_test,0.01,0.0
3,2,F1,2.247191011235955,DD_test,0.01,0.0
3,2,F1,2.247191011235955,JT_test,0.05,0.056352
3,2,F1,2.247191011235955,DD_test,0.05,0.074288
3,2,F1,2.247191011235955,JT_test,0.1,0.140304
3,2,F1,2.247191011235955,DD_test,0.1,0.142468
3,2,F1,2.808988764044944,JT_test,0.01,0.0
3,2,F1,2.808988764044944,DD_test,0.01,0.0
3,2,F1,2.808988764044944,JT_test,0.05,0.06298
3,2,F1,2.808988764044944,DD_test,0.05,0.083576
3,2,F1,2.808988764044944,JT_test,0.1,0.154952
3,2,F1,2.808988764044944,DD_test,0.1,0.158476
3,2,F1,3.370786516853933,JT_test,0.01,0.0
3,2,F1,3.370786516853933,DD_test,0.01,0.0
3,2,F1,3.370786516853933,JT_test,0.05,0.069588
3,2,F1,3.370786516853933,DD_test,0.05,0.093032
3,2,F1,3.370786516853933,JT_test,0.1,0.170224
3,2,F1,3.370786516853933,DD_test,0.1,0.174424
3,2,F1,3.9325842696629216,JT_test,0.01,0.0
3,2,F1,3.9325842696629216,DD_test,0.01,0.0
3,2,F1,3.9325842696629216,JT_test,0.05,0.077272
3,2,F1,3.9325842696629216,DD_test,0.05,0.1034
3,2,F1,3.9325842696629216,JT_test,0.1,0.186788
3,2,F1,3.9325842696629216,DD_test,0.1,0.191352
3,2,F1,4.49438202247191,JT_test,0.01,0.0
3,2,F1,4.49438202247191,DD_test,0.01,0.0
3,2,F1,4.49438202247191,JT_test,0.05,0.08644
3,2,F1,4.49438202247191,DD_test,0.05,0.115416
3,2,F1,4.49438202247191,JT_test,0.1,0.205064
3,2,F1,4.49438202247191,DD_test,0.1,0.210872
3,2,F1,5.056179775280899,JT_test,0.01,0.0
3,2,F1,5.056179775280899,DD_test,0.01,0.0
3,2,F1,5.056179775280899,JT_test,0.05,0.094496
3,2,F1,5.056179775280899,DD_test,0.05,0.126748
3,2,F1,5.056179775280899,JT_test,0.1,0.221276
3,2,F1,5.056179775280899,DD_test,0.1,0.22872
3,2,F1,5.617977528089888,JT_test,0.01,0.0
3,2,F1,5.617977528089888,DD_test,0.01,0.0
3,2,F1,5.617977528089888,JT_test,0.05,0.104688
3,2,F1,5.617977528089888,DD_test,0.05,0.140684
3,2,F1,5.617977528089888,JT_test,0.1,0.240516
3,2,F1,5.617977528089888,DD_test,0.1,0.250356
3,2,F1,6.179775280898877,JT_test,0.01,0.0
