k,n,dist,treatment_shift,parameter,test_name,alpha,rejection_rate
3,3,F1,7.5,15.0,JT_test,0.05,0.97654
3,3,F1,7.5,15.0,DD_test,0.05,0.994992
3,3,F1,7.5,15.46979865771812,JT_test,0.05,0.973348
3,3,F1,7.5,15.46979865771812,DD_test,0.05,0.99394
3,3,F1,7.5,15.939597315436242,JT_test,0.05,0.970272
3,3,F1,7.5,15.939597315436242,DD_test,0.05,0.992732
3,3,F1,7.5,16.40939597315436,JT_test,0.05,0.967452
3,3,F1,7.5,16.40939597315436,DD_test,0.05,0.991764
3,3,F1,7.5,16.879194630872483,JT_test,0.05,0.964292
3,3,F1,7.5,16.879194630872483,DD_test,0.05,0.990144
3,3,F1,7.5,17.348993288590606,JT_test,0.05,0.96032
3,3,F1,7.5,17.348993288590606,DD_test,0.05,0.988444
3,3,F1,7.5,17.818791946308725,JT_test,0.05,0.95694
3,3,F1,7.5,17.818791946308725,DD_test,0.05,0.986956
3,3,F1,7.5,18.288590604026844,JT_test,0.05,0.95248
3,3,F1,7.5,18.288590604026844,DD_test,0.05,0.985124
3,3,F1,7.5,18.758389261744966,JT_test,0.05,0.948664
3,3,F1,7.5,18.758389261744966,DD_test,0.05,0.983624
3,3,F1,7.5,19.22818791946309,JT_test,0.05,0.944696
3,3,F1,7.5,19.22818791946309,DD_test,0.05,0.98122
3,3,F1,7.5,19.697986577181208,JT_test,0.05,0.941536
3,3,F1,7.5,19.697986577181208,DD_test,0.05,0.979932
3,3,F1,7.5,20.167785234899327,JT_test,0.05,0.936824
3,3,F1,7.5,20.167785234899327,DD_test,0.05,0.977168
3,3,F1,7.5,20.63758389261745,JT_test,0.05,0.931896
3,3,F1,7.5,20.63758389261745,DD_test,0.05,0.975008
3,3,F1,7.5,21.107382550335572,JT_test,0.05,0.928676
3,3,F1,7.5,21.107382550335572,DD_test,0.05,0.973152
3,3,F1,7.5,21.57718120805369,JT_test,0.05,0.923312
3,3,F1,7.5,21.57718120805369,DD_test,0.05,0.970156
3,3,F1,7.5,22.04697986577181,JT_test,0.05,0.918604
3,3,F1,7.5,22.04697986577181,DD_test,0.05,0.967212
3,3,F1,7.5,22.516778523489933,JT_test,0.05,0.912948
3,3,F1,7.5,22.516778523489933,DD_test,0.05,0.96436
3,3,F1,7.5,22.986577181208055,JT_test,0.05,0.908716
3,3,F1,7.5,22.986577181208055,DD_test,0.05,0.961308
3,3,F1,7.5,23.456375838926174,JT_test,0.05,0.903288
3,3,F1,7.5,23.456375838926174,DD_test,0.05,0.958884
3,3,F1,7.5,23.926174496644293,JT_test,0.05,0.898896
3,3,F1,7.5,23.926174496644293,DD_test,0.05,0.95558
3,3,F1,7.5,24.395973154362416,JT_test,0.05,0.89468
3,3,F1,7.5,24.395973154362416,DD_test,0.05,0.952896
3,3,F1,7.5,24.86577181208054,JT_test,0.05,0.890204
3,3,F1,7.5,24.86577181208054,DD_test,0.05,0.950576
3,3,F1,7.5,25.335570469798657,JT_test,0.05,0.885492
3,3,F1,7.5,25.335570469798657,DD_test,0.05,0.9467
3,3,F1,7.5,25.805369127516776,JT_test,0.05,0.879344
3,3,F1,7.5,25.805369127516776,DD_test,0.05,0.94334
3,3,F1,7.5,26.2751677852349,JT_test,0.05,0.876256
3,3,F1,7.5,26.2751677852349,DD_test,0.05,0.940056
3,3,F1,7.5,26.74496644295302,JT_test,0.05,0.869456
3,3,F1,7.5,26.74496644295302,DD_test,0.05,0.935372
3,3,F1,7.5,27.21476510067114,JT_test,0.05,0.864972
3,3,F1,7.5,27.21476510067114,DD_test,0.05,0.933764
3,3,F1,7.5,27.68456375838926,JT_test,0.05,0.859276
3,3,F1,7.5,27.68456375838926,DD_test,0.05,0.929808
3,3,F1,7.5,28.154362416107382,JT_test,0.05,0.855384
3,3,F1,7.5,28.154362416107382,DD_test,0.05,0.926752
3,3,F1,7.5,28.624161073825505,JT_test,0.05,0.849328
3,3,F1,7.5,28.624161073825505,DD_test,0.05,0.921612
3,3,F1,7.5,29.093959731543624,JT_test,0.05,0.84512
3,3,F1,7.5,29.093959731543624,DD_test,0.05,0.9191
3,3,F1,7.5,29.563758389261743,JT_test,0.05,0.83982
3,3,F1,7.5,29.563758389261743,DD_test,0.05,0.91592
3,3,F1,7.5,30.033557046979865,JT_test,0.05,0.833336
3,3,F1,7.5,30.033557046979865,DD_test,0.05,0.909936
3,3,F1,7.5,30.503355704697988,JT_test,0.05,0.828956
3,3,F1,7.5,30.503355704697988,DD_test,0.05,0.907828
3,3,F1,7.5,30.973154362416107,JT_test,0.05,0.824108
3,3,F1,7.5,30.973154362416107,DD_test,0.05,0.904064
3,3,F1,7.5,31.442953020134226,JT_test,0.05,0.81886
3,3,F1,7.5,31.442953020134226,DD_test,0.05,0.899348
3,3,F1,7.5,31.91275167785235,JT_test,0.05,0.815624
3,3,F1,7.5,31.91275167785235,DD_test,0.05,0.89722
3,3,F1,7.5,32.38255033557047,JT_test,0.05,0.810704
3,3,F1,7.5,32.38255033557047,DD_test,0.05,0.893656
3,3,F1,7.5,32.85234899328859,JT_test,0.05,0.804828
3,3,F1,7.5,32.85234899328859,DD_test,0.05,0.888972
3,3,F1,7.5,33.32214765100671,JT_test,0.05,0.800792
3,3,F1,7.5,33.32214765100671,DD_test,0.05,0.885864
3,3,F1,7.5,33.79194630872483,JT_test,0.05,0.796072
3,3,F1,7.5,33.79194630872483,DD_test,0.05,0.880792
3,3,F1,7.5,34.261744966442954,JT_test,0.05,0.790968
3,3,F1,7.5,34.261744966442954,DD_test,0.05,0.877604
3,3,F1,7.5,34.73154362416108,JT_test,0.05,0.784332
3,3,F1,7.5,34.73154362416108,DD_test,0.05,0.87318
3,3,F1,7.5,35.20134228187919,JT_test,0.05,0.779512
3,3,F1,7.5,35.20134228187919,DD_test,0.05,0.868572
3,3,F1,7.5,35.671140939597315,JT_test,0.05,0.776008
3,3,F1,7.5,35.671140939597315,DD_test,0.05,0.866048
3,3,F1,7.5,36.14093959731544,JT_test,0.05,0.771072
3,3,F1,7.5,36.14093959731544,DD_test,0.05,0.861696
3,3,F1,7.5,36.61073825503355,JT_test,0.05,0.767472
3,3,F1,7.5,36.61073825503355,DD_test,0.05,0.85868
3,3,F1,7.5,37.080536912751676,JT_test,0.05,0.761552
3,3,F1,7.5,37.080536912751676,DD_test,0.05,0.853372
3,3,F1,7.5,37.5503355704698,JT_test,0.05,0.758316
3,3,F1,7.5,37.5503355704698,DD_test,0.05,0.849944
3,3,F1,7.5,38.02013422818792,JT_test,0.05,0.7524
3,3,F1,7.5,38.02013422818792,DD_test,0.05,0.847084
3,3,F1,7.5,38.48993288590604,JT_test,0.05,0.74924
3,3,F1,7.5,38.48993288590604,DD_test,0.05,0.84278
3,3,F1,7.5,38.95973154362416,JT_test,0.05,0.744184
3,3,F1,7.5,38.95973154362416,DD_test,0.05,0.838412
3,3,F1,7.5,39.42953020134228,JT_test,0.05,0.740756
3,3,F1,7.5,39.42953020134228,DD_test,0.05,0.835888
3,3,F1,7.5,39.899328859060404,JT_test,0.05,0.734484
3,3,F1,7.5,39.899328859060404,DD_test,0.05,0.830276
3,3,F1,7.5,40.36912751677852,JT_test,0.05,0.730984
3,3,F1,7.5,40.36912751677852,DD_test,0.05,0.828136
3,3,F1,7.5,40.83892617449664,JT_test,0.05,0.726072
3,3,F1,7.5,40.83892617449664,DD_test,0.05,0.82316
3,3,F1,7.5,41.308724832214764,JT_test,0.05,0.7207
3,3,F1,7.5,41.308724832214764,DD_test,0.05,0.818384
3,3,F1,7.5,41.77852348993289,JT_test,0.05,0.717596
3,3,F1,7.5,41.77852348993289,DD_test,0.05,0.814876
3,3,F1,7.5,42.24832214765101,JT_test,0.05,0.713716
3,3,F1,7.5,42.24832214765101,DD_test,0.05,0.812788
3,3,F1,7.5,42.718120805369125,JT_test,0.05,0.70982
3,3,F1,7.5,42.718120805369125,DD_test,0.05,0.807872
3,3,F1,7.5,43.18791946308725,JT_test,0.05,0.703556
3,3,F1,7.5,43.18791946308725,DD_test,0.05,0.803932
3,3,F1,7.5,43.65771812080537,JT_test,0.05,0.701648
3,3,F1,7.5,43.65771812080537,DD_test,0.05,0.801932
3,3,F1,7.5,44.127516778523486,JT_test,0.05,0.696616
3,3,F1,7.5,44.127516778523486,DD_test,0.05,0.797112
3,3,F1,7.5,44.59731543624161,JT_test,0.05,0.693012
3,3,F1,7.5,44.59731543624161,DD_test,0.05,0.793328
3,3,F1,7.5,45.06711409395973,JT_test,0.05,0.68722
3,3,F1,7.5,45.06711409395973,DD_test,0.05,0.789388
3,3,F1,7.5,45.53691275167785,JT_test,0.05,0.684272
3,3,F1,7.5,45.53691275167785,DD_test,0.05,0.785536
3,3,F1,7.5,46.006711409395976,JT_test,0.05,0.68168
3,3,F1,7.5,46.006711409395976,DD_test,0.05,0.783544
3,3,F1,7.5,46.47651006711409,JT_test,0.05,0.67524
3,3,F1,7.5,46.47651006711409,DD_test,0.05,0.776924
3,3,F1,7.5,46.946308724832214,JT_test,0.05,0.672056
3,3,F1,7.5,46.946308724832214,DD_test,0.05,0.77438
3,3,F1,7.5,47.41610738255034,JT_test,0.05,0.668116
3,3,F1,7.5,47.41610738255034,DD_test,0.05,0.77054
3,3,F1,7.5,47.88590604026845,JT_test,0.05,0.663044
3,3,F1,7.5,47.88590604026845,DD_test,0.05,0.767164
3,3,F1,7.5,48.355704697986575,JT_test,0.05,0.661588
3,3,F1,7.5,48.355704697986575,DD_test,0.05,0.764332
3,3,F1,7.5,48.8255033557047,JT_test,0.05,0.656744
3,3,F1,7.5,48.8255033557047,DD_test,0.05,0.76
